Model	price
Nokia N9	180
Apple iPhone 5	500
Samsung I8190 Galaxy S III mini	210
Samsung Galaxy Ace S5830	120
Samsung I9500 Galaxy S4	630
Sony Xperia Z	460
Sony Xperia L	300
Sony Xperia P	210
Apple iPhone 4	330
Apple iPhone 4S	380
Apple iPhone	420
Nokia Lumia 520	150
Nokia Lumia 720	250
Nokia Lumia 920	380
Nokia Lumia 820	290
Nokia 1100	-1
Nokia 6210 Navigator	150
LG Optimus F7	-1
LG Nexus 4 E960	230
Micromax A116 Canvas HD	230
Micromax X277	20
BlackBerry Z10	470
HTC One	600
HTC Windows Phone 8X CDMA	410
BlackBerry Q10	560
BlackBerry Bold 9790	270
HTC One	600
HTC Explorer	90
Huawei C3200	50
Sony Ericsson Xperia neo V	200
Micromax A116 Canvas HD	230
Micromax Superfone Punk A44	60
Karbonn S1 Titanium	150
Celkon A83	50
HP TouchPad	280
BlackBerry Q10	560
LG Optimus Vu II F200	380
Motorola Photon Q 4G LTE XT897	430
Samsung E1207T	20
Nokia 105	20
Vodafone Smart Tab II 7	180
Asus PadFone Infinity	1000
Icemobile Tropical 3	-1
Toshiba G710	220
Dell Mini 3i	230
Apple iPhone	420
Nokia Asha 210	70
Nokia Lumia 720	250
Nokia Lumia 520	150
Nokia Asha 210	70
Nokia Lumia 720	250
Nokia Lumia 520	150
Nokia 301	70
Nokia 105	20
Nokia Asha 310	80
Nokia Lumia 505	140
Nokia Lumia 620	180
Nokia 114	30
Nokia 206	50
Nokia Asha 205	50
Nokia 109	40
Nokia Lumia 822	330
Nokia Lumia 510	150
Nokia Lumia 810	300
Nokia Asha 309	90
Nokia Asha 308	80
Samsung Galaxy Mega 6.3 I9200	610
Samsung Galaxy Mega 5.8 I9150	-1
Samsung Galaxy Trend II Duos S7572	-1
Samsung Galaxy Win I8550	-1
Samsung Galaxy Pocket Neo S5310	-1
Samsung Galaxy Star S5280	-1
Samsung I9505 Galaxy S4	590
Samsung I9500 Galaxy S4	630
Samsung I9502 Galaxy S4	610
Samsung Galaxy Note 8.0 N5100	350
Samsung Galaxy Note 8.0 N5110	-1
Samsung Galaxy Y Plus S5303	120
Samsung Rex 90 S5292	80
Samsung Rex 80 S5222R	70
Samsung Rex 70 S3802	60
Samsung Rex 60 C3312R	50
Samsung Metro E2202	30
Samsung E1282T	30
Samsung E1207T	20
Samsung Galaxy Young S6310	160
Samsung Galaxy Fame S6810	160
Samsung Galaxy Express I8730	430
Motorola RAZR D3 XT919	250
Motorola RAZR D1	170
Motorola Electrify M XT905	450
Motorola RAZR i XT890	310
Motorola DROID RAZR MAXX HD	370
Motorola DROID RAZR HD	460
Motorola RAZR HD XT925	460
Motorola DROID RAZR M	460
Motorola RAZR M XT905	460
Motorola DEFY XT XT556	160
Motorola Electrify 2 XT881	390
Motorola Photon Q 4G LTE XT897	430
Motorola Defy Pro XT560	190
Motorola ATRIX HD MB886	290
Motorola XT760	180
Motorola ATRIX TV XT687	360
Motorola ATRIX TV XT682	360
Motorola MotoGO TV EX440	160
Motorola Motosmart Me XT303	160
Motorola MOTOKEY 3-CHIP EX117	70
Motorola RAZR V XT885	230
Motorola RAZR V XT889	280
Sony Ericsson Xperia Arc S	230
Sony Ericsson Xperia neo V	200
Sony Ericsson Live with Walkman	140
Sony Ericsson Xperia ray	170
Sony Ericsson Xperia active	170
Sony Ericsson txt	60
Sony Ericsson Mix Walkman	70
Sony Ericsson txt pro	80
Sony Ericsson Xperia mini	120
Sony Ericsson Xperia mini pro	140
Sony Ericsson WT18i	230
Sony Ericsson W8	100
Sony Ericsson Xperia PLAY	160
Sony Ericsson Xperia pro	190
Sony Ericsson Xperia Neo	220
Sony Ericsson Xperia Arc	230
Sony Ericsson Xperia PLAY CDMA	230
Sony Ericsson A8i	130
Sony Ericsson Xperia X8	100
Sony Ericsson Cedar	50
Sony Ericsson Yendo	70
Sony Ericsson BRAVIA S004	290
Sony Xperia L	300
Sony Xperia SP	340
Sony Xperia Tablet Z LTE	710
Sony Xperia Tablet Z Wi-Fi	470
Sony Xperia Z	460
Sony Xperia ZL	440
Sony Xperia E dual	110
Sony Xperia E	160
Sony Xperia T LTE	350
Sony Xperia Tablet S 3G	390
Sony Xperia Tablet S	310
Sony Xperia V	260
Sony Xperia J	170
Sony Xperia TX	330
Sony Xperia T	280
Sony Xperia SL	270
Sony Xperia tipo dual	110
Sony Xperia tipo	100
Sony Xperia miro	170
Sony Xperia go	170
Sony Xperia acro S	290
Sony Xperia SX SO-05D	350
LG Lucid2 VS870	270
LG Optimus F7	-1
LG Optimus F5 P875	-1
LG Optimus G Pro E985	600
LG Optimus L7 II Dual P715	230
LG Optimus L7 II P710	250
LG Optimus L5 II Dual E455	190
LG Optimus L5 II E460	180
LG Optimus L3 II Dual E435	150
LG Optimus L3 II E430	100
LG Nexus 4 E960	230
LG Tri Chip C333	90
LG Spectrum II 4G VS930	500
LG Mach LS860	230
LG Optimus L9 P769	310
LG Optimus Vu II	-1
LG Optimus Vu II F200	380
LG Optimus G E970	420
LG Optimus G LS970	480
LG Optimus G E975	370
LG Intuition VS950	380
LG Splendor US730	310
Apple iPad mini Wi-Fi	250
Apple iPad mini Wi-Fi + Cellular	350
Apple iPad 4 Wi-Fi	380
Apple iPad 4 Wi-Fi + Cellular	480
Apple iPhone 5	500
Apple iPad 3 Wi-Fi + Cellular	480
Apple iPad 3 Wi-Fi	380
Apple iPhone 4S	380
Apple iPad 2 Wi-Fi + 3G	400
Apple iPad 2 Wi-Fi	330
Apple iPad 2 CDMA	480
Apple iPhone 4	330
Apple iPhone 4 CDMA	310
Apple iPad Wi-Fi + 3G	410
Apple iPad Wi-Fi	310
Apple iPhone 3GS	270
Apple iPhone 3G	180
Apple iPhone	420
HTC First	340
HTC One	600
HTC Desire U	-1
HTC Butterfly	490
HTC DROID DNA	450
HTC One SV CDMA	380
HTC One SV	320
HTC Desire SV	330
HTC One VX	330
HTC One X+	380
HTC Windows Phone 8X CDMA	410
HTC Windows Phone 8X	400
HTC Windows Phone 8S	250
HTC One ST	240
HTC One SC	260
HTC One SU	240
HTC Desire X	190
HTC Desire VT	200
HTC Desire VC	230
HTC Desire V	210
HTC Desire C	120
HTC J	410
BlackBerry Z10	470
BlackBerry Q10	560
BlackBerry 4G LTE PlayBook	470
BlackBerry Curve 9320	150
BlackBerry Curve 9220	120
BlackBerry Curve 9380	210
BlackBerry Bold 9790	270
BlackBerry Porsche Design P'9981	1310
BlackBerry Curve 9370	190
BlackBerry Curve 9360	180
BlackBerry Curve 9350	130
BlackBerry Torch 9810	260
BlackBerry Torch 9860	170
BlackBerry Torch 9850	180
BlackBerry Bold Touch 9900	210
BlackBerry Bold Touch 9930	260
BlackBerry 4G PlayBook HSPA+	-1
BlackBerry PlayBook WiMax	-1
BlackBerry PlayBook	120
BlackBerry Bold 9780	170
BlackBerry Style 9670	140
BlackBerry Curve 3G 9330	100
Spice Mi-530 Stellar Pinnacle	190
Spice Mi-1010 Stellar Pad	180
Spice Mi-495 Stellar Virtuoso	150
Spice Mi-500 Stellar Horizon	180
Spice Mi-285 Stellar	60
Spice M-5665 T2	30
Spice M-5566 Flo Entertainer	30
Spice M-5900 Flo TV Pro	40
Spice M-6688 Flo Magic	50
Spice M-5460 Flo	30
Spice M-5455 Flo	30
Spice M-5365 Boss Killer	20
Spice M-5400 Boss TV	30
Spice M-5200 Boss Don	20
Spice M-5390 Boss Double XL	30
Spice M-5250 Boss Item	20
Spice M-5363 Boss	20
Spice Mi-355 Stellar Craze	100
Spice Mi-425 Stellar	90
Spice M-6868N FLO ME	50
Spice M-5600 FLO TV	30
Spice Mi-280	70
Karbonn A111	150
Karbonn A6	80
Karbonn A4	70
Karbonn A3	70
Karbonn A2	70
Karbonn S5 Titanium	-1
Karbonn S1 Titanium	150
Karbonn Smart Tab 9	90
Karbonn Smart Tab 8	100
Karbonn Smart Tab 10	140
Karbonn Smart Tab2	70
Karbonn Smart Tab 7	80
Karbonn KT21 Express	40
Karbonn K65 Buzz	40
Karbonn K9 Jumbo	30
Karbonn A9	110
Karbonn KT62	30
Karbonn K52 Groovster	20
